id,name,short_description,full_description,topic,languages,prohibited_content,categories
58e10e8d72782604c488bd35,mastodon.xyz,"Generalistic and moderated instance. All opinions are welcome, but hate speeches are prohibited.","Generalistic and moderated instance. All opinions are welcome, but hate speeches are prohibited.

Users who don't respect rules will be silenced, or suspended if they harass other people or if the the violation is considered too large.",None,"['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']",[]
58e11571a0edbc7317b4f531,social.tchncs.de,"Big instance from germany, hosted with much love.","Updates are applied quickly.

We have no too strong rules but,
On social.tchncs.de our primary directive is:
→ ""Be nice to each other!""

The full CoC is here: https://social.tchncs.de/about/more",None,"['en', 'de']",[],[]
58e1157fa0edbc7317b4f532,animalliberation.social,"A social network for animal rights activists, vegans, and anyone interested to learn.","We are a network of animal rights activists and allies organizing with free software so that we can liberate ourselves while pushing to liberate all non-human animals. We accept all allies to the movement regardless of tactics, including incrementalism, single-issue direct action, intersectional activism, and anything else. Animal-related organizations are invited to promote themselves on the platform. We take a strong human rights stance and invite human rights activists to join and/or participate in the discussion as well—human rights are a facet of animal rights since humans are animals. As usual, racism and sexism are not tolerated here, but neither is speciesism. Promoting violence against non-humans animals, including posting pictures of animal bodies/excrement as ""food,"" will result in an account suspension. However, we welcome people to ask questions if they are interested to learn.",Animal rights,['en'],"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'sexism', 'racism', 'spam', 'hateSpeeches', 'harrassment']",[]
58e11af3831c8311929844aa,icosahedron.website,icosahedron.website is a mastodon instance for people who like the stellation of the 20-sided convex regular polyhedron.,"icosahedron.website is a mastodon instance for people who like the stellation of the 20-sided convex regular polyhedron.

Other polyhedrals can come too I guess.



















Ｔ　Ａ　Ｎ　Ａ　Ｓ　Ｉ　Ｎ　Ｎ ",Stellated Platonic Solids,['en'],"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'hateSpeeches', 'harrassment']",[]
58e11ba6831c8311929844ab,hostux.social,Beer and free software lovers - Friendly atmosphere and privacy-aware - Our server is hosted in France.,"Beer and free software lovers - Friendly atmosphere and privacy-aware - Our server is hosted in France. 

",None,"['en', 'fr', 'it', 'es']","['illegalContentLinks', 'spam', 'advertising']",[]
58e159e9be0ec66f42e7dab1,aleph.land,א,"Welcome to the א community!

First, here are the main ideas behind our rules that should be yours:

- The respect of others is primary.
- This instance wants to be peaceful and welcoming.
- Each user is responsible of their account.

Rules of Aleph.land

You can be suspended for:

- Sharing content that is illegal in France (pedophilia, mainly).
- Taking part of a harassment.
- Putting someone in danger.
- Having a racist, sexist, discriminating or oppressive talk.
- Voluntarily degrading the prosperity or the good atmosphere of the instance.

You can be muted from the public timelines for:

- Posting a media, some text or a link to the following contents without an explicit content warning and NSFW cover:
    - nudity (#nude)
    - gore (#gore)
    - pornography (#porn)
    - a flashy media that could be harmful for photosensitive people (#epilepsywarning)
    - spoil (#spoil)
- Unpleasant shitposting or flooding.
- Making abusive ads.
- Posting automatic toots from another source.

Please keep in mind that this rules are here to guarantee a good experience to everyone on the instance. Also, this list is not exhaustive and moderators will do their best to solve problems that may not have been specified here.
If you have any question, or suggestion, don't hesitate to contact me at @Madeorsk@aleph.land! :) 

You can also donate every month to help me to maintain this instance: patreon.com/alephland",None,"['en', 'eo', 'fr']","['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']",[]
58e22b3e8fc23f4d8fc861ee,maly.io,"Maly is a stable, non-tracking Mastodon instance running along other services like our PeerTube instance and a private cloud.","Hello ! My name is Tijl Van den Brugghen, named KindlyFire online. I run this Mastodon instance and some other public services for anybody to enjoy. I detailed most information on this page, but feel free to ask me anything !

# Guarantees

* We do not track you. (but others on the Fediverse might, no instance can guarantee this)
* Light moderation. The instance rules are defined below.
* We federate with every instance out there. But that does not say we allow every kind of content.

# Rules

Obviously, every instance has to have rules. Without this, although this instance is pretty small, there would be problems. Here they are:

* Respect everyone
* Do not spam (this applies mainly to bots)
* No NSFW without an appropriete Content-Warning.
* Any kind of illigal content is prohibited.
* Have fun 🎉

More information is available on our about page: https://maly.io/about/more",None,"['nl', 'en', 'eo', 'fr']","['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","['academia', 'activism', 'art', 'books', 'games', 'journalism', 'music', 'tech']"
58e2414f8fc23f4d8fc861fd,social.alex73630.xyz,Une instance française géré par @alex73630@social.alex73630.xyz sur Mastodon ou @alex73630 sur Twitter,"Infos pratiques :

Les comptes à suivre :

@alex73630 : Administrateur de cette instance
@admin : Essentiellement pour transmettre des informations concernant l'administration (nouveaux modérateurs, MaJ des règles...)
@status : Indique les futurs maintenances, rapport de mise à jour, nouvelles fonctionnalités et bugs temporaires connus
@support : Fourni une assistance aux utilisateurs (préférez contacter/consulter @support@mastodon.social, qui est le compte officiel d'assistance de Mastodon)
Nota : Pour le moment, il est difficile de gérer plusieurs comptes depuis Mastodon, ne vous attendez pas à une réponse rapide sur ces comptes, excepté pour @alex73630
Spécifications du serveur :

Le serveur est actuellement hébergé chez SoYouStart.com en France, dans leur datacenter de Roubaix.

Le modèle : SYS-IP-1S

Règles :

Pas de règles spécifiques, tout ce que je demande c'est le respect de chacun, pas d'insultes, de racisme, d'homophobie, contenu illégaux etc... Bref tout ce qui va du bon sens !

De même, les comptes parodiques/non officiels sont autorisés tant qu'il est indiqué dans la description la mention de compte parodique ou le username officiel de la personne.

Egalement, pour éviter tout incompréhension, merci de ne pas utiliser le ✅ (:white_check_mark:) à coté de votre pseudo pour vous signaler comme étant ""verified""/compte actif. D'autres emoji peuvent être utilisé à cet effet.

En cas de non respect de ces règles, je me réserve le droit de suspendre/mute sans préavis.",None,"['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']",[]
58e25d6a8fc23f4d8fc8620e,social.wxcafe.net,"This is an open mastodon instance for social justice activists, LGBTQIA+ people, and people who are aware of such subjects and care about them. ","The instance has multiple goals, the most important of all being making everyone on here feel as safe as possible. Other goals include letting users manage their social life easily and securely, making this instance a nice community with a shared expression space, and making the fediverse better. 

Right now, the only admin and moderator is @wxcafe. This might change in the future, and will be reflected on this page. Please report any content breaking the rules highlighted on this page using the report function. We don't hesitate to moderate posts, to silence and/or suspend users, local or remote, and instances. In France we like to think of this as ""Censure Communautariste"".


 This server is run on a server paid for by @wxcafe, hosted on Vultr. The server is a 4GB RAM, 2 vCores, 60G disk VPS. It costs $20/months, and is financed using Patreon
The bot @server_status posts information about the status of the server every once in a while, be it graphs about the ressources, number of users and toots, etc...","LGBTQIA+, social justice, activism, tech","['en', 'fr']","['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",[]
58e2829598f240743efe1c79,social.tcit.fr,A small instance for people who use Free Software and are nice to other people.,"Follow @status for status updates, planned downtimes, etc.

There are no restrictions of content on this instance, however, to keep it pleasant to everyone here are a few rules, which will be completed over time: racist, sexist, homophobic, etc. messages are prohibited and parodic accounts are accepted but must mention they are parodic in their description

Any user not respecting these rules may get silenced or suspended. Also remember you have the ability to report users if they don't respect these rules.

[Adapted from mastodon.xyz terms]",None,"['en', 'fr']","['pornography_nocw', 'sexism', 'racism', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",[]
